file	pckfgs	classes	methods
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-34_library_google_maps.txt	0	0	0
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-34_library_google_maps2.txt	1	3	15
F:\ALIFE\javancss\out\2018-07-27-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-30_project.txt	81	390	3987
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-30_project_alpha.txt	4	10	44
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-31_android_lite.txt	5	9	26
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-32_blackberry_full.txt	1	3	2
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-32_blackberry_lite.txt	3	7	18
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-34_library_common_and.txt	10	20	96
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-34_library_google_maps.txt	0	0	0
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-34_library_google_maps2.txt	1	3	15
F:\ALIFE\javancss\out\2018-08-03-AndroidV2-34_library_web_maps.txt	1	4	29
