file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\cloc\2017-11-03.scv	Javascript	125	5921	11832	38454
F:\ALIFE\cloc\2017-11-03.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-11-03.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-11-03.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-11-10-AndroidV2-30_project.scv	Java	208	5747	3336	22647
F:\ALIFE\cloc\2017-11-10-AndroidV2-30_project.scv	XML	159	1584	360	11659
F:\ALIFE\cloc\2017-11-10.scv	C#	12	144	238	588
F:\ALIFE\cloc\2017-11-10.scv	XAML	4	18	28	81
F:\ALIFE\cloc\2017-11-10.scv	Java	687	17920	16278	57666
F:\ALIFE\cloc\2017-11-10.scv	CSS	143	8387	3043	42613
F:\ALIFE\cloc\2017-11-10.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-11-10.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-11-10.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-11-10.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-11-10.scv	MSBuild script	1	0	7	160
F:\ALIFE\cloc\2017-11-10.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-11-10.scv	HTML	1286	21105	16792	302801
F:\ALIFE\cloc\2017-11-10.scv	Objective C	262	11855	9819	35173
F:\ALIFE\cloc\2017-11-10.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-11-10.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-11-10.scv	JSON	3	0	0	3
F:\ALIFE\cloc\2017-11-10.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-11-10.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-11-10.scv	C/C++ Header	474	5814	11686	15347
F:\ALIFE\cloc\2017-11-10.scv	XML	324	2502	680	89429
F:\ALIFE\cloc\2017-11-10.scv	Javascript	174	15988	23156	73194
F:\ALIFE\cloc\2017-11-10.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-11-10.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-11-10.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-11-17-AndroidV2-30_project.scv	Java	220	5876	3342	22463
F:\ALIFE\cloc\2017-11-17-AndroidV2-30_project.scv	XML	192	1688	363	13021
F:\ALIFE\cloc\2017-11-17.scv	C#	12	144	238	588
F:\ALIFE\cloc\2017-11-17.scv	XAML	4	18	28	81
F:\ALIFE\cloc\2017-11-17.scv	Java	722	18671	16913	60004
F:\ALIFE\cloc\2017-11-17.scv	CSS	143	8403	3043	42680
F:\ALIFE\cloc\2017-11-17.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-11-17.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-11-17.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-11-17.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-11-17.scv	MSBuild script	1	0	7	160
F:\ALIFE\cloc\2017-11-17.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-11-17.scv	HTML	1288	21129	16794	303127
F:\ALIFE\cloc\2017-11-17.scv	Objective C	262	11936	9914	35409
F:\ALIFE\cloc\2017-11-17.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-11-17.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-11-17.scv	JSON	3	0	0	3
F:\ALIFE\cloc\2017-11-17.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-11-17.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-11-17.scv	C/C++ Header	474	5823	11695	15375
F:\ALIFE\cloc\2017-11-17.scv	XML	366	2645	686	91077
F:\ALIFE\cloc\2017-11-17.scv	Javascript	174	15988	23156	73194
F:\ALIFE\cloc\2017-11-17.scv	DOS Batch	24	167	16	605
